detector,instrument
death,instrument
death,Afghanistan
death,Albania
death,Algeria
death,Andorra
death,Angola
death,Antigua and Barbuda
death,Argentina
death,Armenia
death,Australia
death,Austria
death,Azerbaijan
death,Bahamas
death,Bahrain
death,Bangladesh
death,Barbados
death,Belarus
death,Belgium
death,Benin
death,Bhutan
death,Bolivia
death,Bosnia and Herzegovina
death,Brazil
death,Brunei
death,Bulgaria
death,Burkina Faso
death,Cabo Verde
death,Cambodia
death,Cameroon
death,Canada
death,Central African Republic
death,Chad
death,Chile
death,China
death,Colombia
death,Congo (Brazzaville)
death,Congo (Kinshasa)
death,Costa Rica
death,Cote d'Ivoire
death,Croatia
death,Diamond Princess
death,Cuba
death,Cyprus
death,Czechia
death,Denmark
death,Djibouti
death,Dominican Republic
death,Ecuador
death,Egypt
death,El Salvador
death,Equatorial Guinea
death,Eritrea
death,Estonia
death,Eswatini
death,Ethiopia
death,Fiji
death,Finland
death,France
death,Gabon
death,Gambia
death,Georgia
death,Germany
death,Ghana
death,Greece
death,Guatemala
death,Guinea
death,Guyana
death,Haiti
death,Holy See
death,Honduras
death,Hungary
death,Iceland
death,India
death,Indonesia
death,Iran
death,Iraq
death,Ireland
death,Israel
death,Italy
death,Jamaica
death,Japan
death,Jordan
death,Kazakhstan
death,Kenya
death,"Korea, South"
death,Kuwait
death,Kyrgyzstan
death,Latvia
death,Lebanon
death,Liberia
death,Liechtenstein
death,Lithuania
death,Luxembourg
death,Madagascar
death,Malaysia
death,Maldives
death,Malta
death,Mauritania
death,Mauritius
death,Mexico
death,Moldova
death,Monaco
death,Mongolia
death,Montenegro
death,Morocco
death,Namibia
death,Nepal
death,Netherlands
death,New Zealand
death,Nicaragua
death,Niger
death,Nigeria
death,North Macedonia
death,Norway
death,Oman
death,Pakistan
death,Panama
death,Papua New Guinea
death,Paraguay
death,Peru
death,Philippines
death,Poland
death,Portugal
death,Qatar
death,Romania
death,Russia
death,Rwanda
death,Saint Lucia
death,Saint Vincent and the Grenadines
death,San Marino
death,Saudi Arabia
death,Senegal
death,Serbia
death,Seychelles
death,Singapore
death,Slovakia
death,Slovenia
death,Somalia
death,South Africa
death,Spain
death,Sri Lanka
death,Sudan
death,Suriname
death,Sweden
death,Switzerland
death,Taiwan*
death,Tanzania
death,Thailand
death,Togo
death,Trinidad and Tobago
death,Tunisia
death,Turkey
death,Uganda
death,Ukraine
death,United Arab Emirates
death,United Kingdom
death,Uruguay
death,US
death,Uzbekistan
death,Venezuela
death,Vietnam
death,Zambia
death,Zimbabwe
death,Dominica
death,Grenada
death,Mozambique
death,Syria
death,Timor-Leste
death,Belize
death,Laos
death,Libya
death,West Bank and Gaza
death,Guinea-Bissau
death,Mali
death,Saint Kitts and Nevis
death,Kosovo
death,Burma
death,MS Zaandam
death,Botswana
death,Burundi
death,Sierra Leone
death,Malawi
death,South Sudan
death,Western Sahara
death,Sao Tome and Principe
death,Yemen
death,Comoros
death,Tajikistan
death,Lesotho
